"id","timestamp","pmv","ppd","co2","pm25","pm10","temp","hr","voc","co","no2","c2h5ch","idnodo"
5644288,2022-06-30 15:02:00,0.88,21.0,708.0,4.8,10.3,27.3,49.9,20.0,1.74,46.0,105.0,fdba37
5644268,2022-06-30 15:01:00,0.88,22.0,708.0,5.1,15.0,27.3,50.3,21.0,1.73,46.0,105.0,fdba37
5644248,2022-06-30 15:00:00,0.88,21.0,708.0,6.4,13.8,27.3,50.1,20.0,1.76,45.0,105.0,fdba37
5644228,2022-06-30 14:59:00,0.88,21.0,708.0,5.1,12.5,27.3,49.7,20.0,1.73,45.0,105.0,fdba37
5644208,2022-06-30 14:58:00,0.88,21.0,708.0,5.0,13.5,27.3,50.1,20.0,1.73,46.0,104.0,fdba37
5644188,2022-06-30 14:57:00,0.88,21.0,708.0,4.6,11.7,27.3,49.8,20.0,1.76,45.0,105.0,fdba37
5644168,2022-06-30 14:56:00,0.88,21.0,708.0,0.0,-1.0,27.3,49.9,20.0,1.74,45.0,105.0,fdba37
5644148,2022-06-30 14:55:00,0.88,21.0,708.0,0.0,-1.0,27.3,50.2,20.0,1.74,46.0,105.0,fdba37
5644128,2022-06-30 14:54:00,0.88,21.0,708.0,4.2,9.3,27.3,50.0,20.0,1.76,45.0,105.0,fdba37
5644108,2022-06-30 14:52:00,0.88,21.0,708.0,4.8,14.9,27.3,50.1,20.0,1.75,46.0,105.0,fdba37
5644088,2022-06-30 14:51:00,0.88,21.0,708.0,4.3,7.9,27.3,49.7,20.0,1.76,46.0,105.0,fdba37
5644068,2022-06-30 14:50:00,0.88,21.0,708.0,3.8,7.0,27.3,50.1,20.0,1.76,45.0,105.0,fdba37
5644048,2022-06-30 14:49:00,0.88,21.0,708.0,4.2,8.9,27.3,49.8,20.0,1.77,46.0,104.0,fdba37
5644028,2022-06-30 14:48:00,0.88,21.0,708.0,0.0,-1.0,27.3,49.8,20.0,1.75,46.0,104.0,fdba37
5644008,2022-06-30 14:47:00,0.88,21.0,708.0,3.8,8.4,27.3,50.0,21.0,1.77,46.0,105.0,fdba37
5643988,2022-06-30 14:46:00,0.85,20.0,708.0,4.3,8.7,27.2,49.7,20.0,1.79,46.0,105.0,fdba37
5643968,2022-06-30 14:45:00,0.88,21.0,708.0,3.8,7.4,27.3,50.0,21.0,1.77,45.0,105.0,fdba37
5643948,2022-06-30 14:44:00,0.85,20.0,708.0,3.8,7.2,27.2,49.8,20.0,1.78,46.0,105.0,fdba37
5643928,2022-06-30 14:43:00,0.85,20.0,708.0,3.7,7.7,27.2,49.7,20.0,1.77,46.0,105.0,fdba37
5643907,2022-06-30 14:42:00,0.88,21.0,708.0,4.1,10.0,27.3,49.8,20.0,1.75,46.0,105.0,fdba37
5643887,2022-06-30 14:41:00,0.85,20.0,708.0,3.7,9.2,27.2,49.7,20.0,1.75,46.0,104.0,fdba37
5643867,2022-06-30 14:40:00,0.85,20.0,708.0,3.7,8.0,27.2,50.1,20.0,1.76,46.0,104.0,fdba37
5643847,2022-06-30 14:39:00,0.85,20.0,708.0,3.3,5.4,27.2,50.0,20.0,1.78,46.0,104.0,fdba37
5643827,2022-06-30 14:38:00,0.85,20.0,708.0,2.9,4.6,27.2,50.0,20.0,1.78,46.0,104.0,fdba37
5643807,2022-06-30 14:37:00,0.85,20.0,708.0,3.1,5.4,27.2,50.1,20.0,1.78,46.0,104.0,fdba37
5643787,2022-06-30 14:36:00,0.85,20.0,708.0,3.0,8.3,27.2,50.4,20.0,1.78,46.0,105.0,fdba37
